agent_path,agent_name,benchmark_type,seed,matches,wins,winrate,points_total,avg_points,avg_rank,llm_decisions,fallback_count,fallback_rate,latency_ms_total,avg_latency_ms,input_tokens_total,output_tokens_total,token_decisions,avg_input_tokens,avg_output_tokens,provider,model
PyCatan.Agents.ShiyiHeuristicAgent.ShiyiHeuristicAgent,ShiyiHeuristicAgent,vs_random,42,100,100,1.0000,1011,10.1100,1.0000,0,0,0.0000,0,0.00,0,0,0,0.00,0.00,,
PyCatan.Agents.ShiyiHeuristicAgent.ShiyiHeuristicAgent,ShiyiHeuristicAgent,vs_random,2026,100,100,1.0000,1013,10.1300,1.0000,0,0,0.0000,0,0.00,0,0,0,0.00,0.00,,
PyCatan.Agents.ShiyiHeuristicAgent.ShiyiHeuristicAgent,ShiyiHeuristicAgent,vs_random,31415,100,100,1.0000,1010,10.1000,1.0000,0,0,0.0000,0,0.00,0,0,0,0.00,0.00,,
